iter	Logloss
0	0.6859105971
1	0.678701219
2	0.6730570897
3	0.6663870692
4	0.6607086767
5	0.6538722574
6	0.64753506
7	0.642911169
8	0.6368691653
9	0.631851788
10	0.6262207728
11	0.6201232799
12	0.6144288063
13	0.6088135457
14	0.6042399028
15	0.5986390391
16	0.5936295677
17	0.5882520724
18	0.5830932312
19	0.5782940726
20	0.5734386943
21	0.568658054
22	0.5649423392
23	0.5604195344
24	0.5553477274
25	0.5517848077
26	0.547988585
27	0.5434425233
28	0.5399715657
29	0.5361595482
30	0.5319747643
31	0.5284296462
32	0.5256578298
33	0.5216535556
34	0.5182508198
35	0.5145730078
36	0.5112758451
37	0.508052481
38	0.5046815788
39	0.5006779572
40	0.4978290262
41	0.4947167449
42	0.4921904153
43	0.4888223808
44	0.485889861
45	0.4833337178
46	0.480846169
47	0.4785837128
48	0.4757415109
49	0.4726112703
50	0.4703298034
51	0.4679169525
52	0.4650979467
53	0.4625439624
54	0.4600403267
55	0.4583198431
56	0.4565400352
57	0.4541639638
58	0.4519759205
59	0.4501127735
60	0.4478994111
61	0.4461390768
62	0.4435927296
63	0.4416745005
64	0.4393719148
65	0.4371610912
66	0.4352067443
67	0.4334815681
68	0.4315687773
69	0.4301473746
70	0.4284935555
71	0.4268915324
72	0.4250041154
73	0.4238958612
74	0.4223250142
75	0.4209899355
76	0.4191647636
77	0.4179922691
78	0.4160778466
79	0.4148434101
80	0.4132374671
81	0.4122488699
82	0.4108920168
83	0.4095418811
84	0.4080697448
85	0.4068150306
86	0.4054560427
87	0.4042369396
88	0.4029604131
89	0.4020054027
90	0.4009710301
91	0.3996852139
92	0.3983780841
93	0.397355089
94	0.3959897563
95	0.3948584219
96	0.3934887009
97	0.391952617
98	0.390990758
99	0.3902581592
100	0.3890774828
101	0.3880339989
102	0.3874498567
103	0.3863385555
104	0.3853645654
105	0.3844897773
106	0.3831997273
107	0.3826546113
108	0.381487999
109	0.3804554293
110	0.3797182882
111	0.3788421669
112	0.377907955
113	0.3771168485
114	0.3764458854
115	0.3757724792
116	0.3748253745
117	0.3742423656
118	0.3737467492
119	0.3729964388
120	0.3723635225
121	0.3715750512
122	0.3708296612
123	0.3701821873
124	0.3697358974
125	0.3688790686
126	0.3677802673
127	0.3670621428
128	0.3661619078
129	0.3653692047
130	0.3646114901
131	0.3640977164
132	0.3634054014
133	0.3626329551
134	0.3619779855
135	0.3609925112
136	0.3604342771
137	0.3596778358
138	0.3590738018
139	0.3585088684
140	0.358040134
141	0.3573672186
142	0.3569848221
143	0.3564246022
144	0.3556531275
145	0.3548663117
146	0.3541400161
147	0.3534893938
148	0.3529470155
149	0.3526062689
150	0.3519842786
151	0.3513818087
152	0.3508231902
153	0.3502351069
154	0.3497311117
155	0.3490636885
156	0.3484589752
157	0.3480298209
158	0.3475114807
159	0.3468803043
160	0.3464186811
161	0.3459594828
162	0.3456872587
163	0.3453833237
164	0.3449707404
165	0.3447383363
166	0.3444442946
167	0.3439801724
168	0.3435820957
169	0.3431870549
170	0.3428561449
171	0.3422585667
172	0.3419898065
173	0.3417350084
174	0.3413475427
175	0.3409767715
176	0.3405946928
177	0.3400732038
178	0.3400248495
179	0.3398806232
180	0.3394811827
181	0.3391076206
182	0.3387997081
183	0.3385258984
184	0.3384051669
185	0.338008571
186	0.3378513041
187	0.3374109965
188	0.3370504126
189	0.3366220818
190	0.3363799165
191	0.33596745
192	0.3358246446
193	0.3356468343
194	0.3353029009
195	0.3350360656
196	0.334928418
197	0.3344134806
198	0.334054844
199	0.333730986
200	0.3334005882
201	0.3332078508
202	0.3329314366
203	0.3327154441
204	0.3325067241
205	0.3321911286
206	0.3319198591
207	0.3315551234
208	0.3314098818
209	0.3309653383
210	0.3306870774
211	0.3305196659
212	0.3302123181
213	0.3298827832
214	0.3295557907
215	0.3293682947
216	0.329142733
217	0.328910852
218	0.328800777
219	0.3286165928
220	0.3284553114
221	0.3282351491
222	0.3279153939
223	0.3276672141
224	0.3274552369
225	0.3272378998
226	0.3271253304
227	0.3267832753
228	0.3265812623
229	0.3261515111
230	0.3260131882
231	0.325805906
232	0.3257219751
233	0.325506781
234	0.3252813136
235	0.3251571478
236	0.3247790722
237	0.3244068318
238	0.3243043179
239	0.3239461299
240	0.3238674135
241	0.3237553939
242	0.3234935089
243	0.3232417031
244	0.3231209369
245	0.3228257112
246	0.3227125545
247	0.3224582096
248	0.3223210033
249	0.3218563313
250	0.3216649522
251	0.3215456475
252	0.3213352024
253	0.3210887064
254	0.3209442086
255	0.3207051246
256	0.3205334118
257	0.3203414315
258	0.32016576
259	0.32015226
260	0.3199777269
261	0.3197737817
262	0.3197153059
263	0.3194918082
264	0.3193278417
265	0.3190961179
266	0.3187067249
267	0.3184454017
268	0.3182851312
269	0.3180922233
270	0.3179347555
271	0.3177792645
272	0.3176409427
273	0.3174194072
274	0.3172841962
275	0.317152657
276	0.3170130541
277	0.3167123542
278	0.316533539
279	0.3163208739
280	0.3161055025
281	0.3158144541
282	0.3155896586
283	0.3151902538
284	0.3149150057
285	0.3148352345
286	0.3147907174
287	0.3146090817
288	0.3144712703
289	0.3142741187
290	0.3141641624
291	0.3141127505
292	0.3139676976
293	0.3136257754
294	0.3135378647
295	0.3132784416
296	0.3131714851
297	0.313110597
298	0.3130395959
299	0.3128099693
300	0.3127257955
301	0.3125907169
302	0.3123915009
303	0.312217949
304	0.3120986809
305	0.3118605347
306	0.3116150262
307	0.3114332919
308	0.3111471393
309	0.3109884136
310	0.3108310136
311	0.3105892684
312	0.3104876133
313	0.3103223021
314	0.3102960419
315	0.3101271456
316	0.3098842247
317	0.3096144329
318	0.3094993883
319	0.3093631733
320	0.3091687647
321	0.3090238162
322	0.3089739934
323	0.3088065072
324	0.3086340882
325	0.3085145215
326	0.3083336523
327	0.3082702559
328	0.3081456897
329	0.3079661669
330	0.3077487324
331	0.307608968
332	0.3074773272
333	0.3073027337
334	0.3071644945
335	0.3070872001
336	0.3068775236
337	0.3066237433
338	0.306505561
339	0.3064203712
340	0.3063460845
341	0.3061991903
342	0.3060407195
343	0.305890575
344	0.3058315663
345	0.3057474181
346	0.3056530196
347	0.305520627
348	0.3054709975
349	0.3053908978
350	0.3052618346
351	0.3051282526
352	0.3050423597
353	0.3049724693
354	0.3047358704
355	0.3046283274
356	0.3044062921
357	0.304229591
358	0.3039898358
359	0.3038652882
360	0.3037362135
361	0.3036811367
362	0.3035383882
363	0.3034359773
364	0.30324658
365	0.3030019537
366	0.3028576206
367	0.3027806741
368	0.3026460902
369	0.3025195777
370	0.302452673
371	0.3023703703
372	0.3022911205
373	0.3022003386
374	0.3021642217
375	0.30205599
376	0.3019004983
377	0.3017828691
378	0.3016023145
379	0.3015049311
380	0.3013692832
381	0.3012540278
382	0.3010858035
383	0.3009837409
384	0.3009026424
385	0.3007391638
386	0.3006402259
387	0.300522547
388	0.3004254045
389	0.3002250337
390	0.3001872095
391	0.3000188499
392	0.2997565423
393	0.2996540601
394	0.2995216094
395	0.2993329043
396	0.2991584987
397	0.29905474
398	0.2989248517
399	0.2987700891
400	0.2985665586
401	0.2984822332
402	0.2983215967
403	0.2981970979
404	0.2980789829
405	0.2980052888
406	0.2979445199
407	0.2978544586
408	0.2977773638
409	0.2977165598
410	0.2976174665
411	0.2975015994
412	0.2973900041
413	0.2973112174
414	0.2970975675
415	0.2970013735
416	0.2969471138
417	0.2968808066
418	0.2968758606
419	0.2966987392
420	0.2966618954
421	0.2965494653
422	0.2963960699
423	0.296306796
424	0.2963008955
425	0.2962332157
426	0.2960686614
427	0.2959918843
428	0.2958474988
429	0.295760579
430	0.2957343505
431	0.2955647079
432	0.2954120765
433	0.2953202764
434	0.2951886284
435	0.2951446832
436	0.2950454203
437	0.2949996228
438	0.2948409562
439	0.2947182441
440	0.2945943776
441	0.2945323674
442	0.2943750548
443	0.2943560239
444	0.2941775279
445	0.2941720327
446	0.2939963501
447	0.2939415539
448	0.2937971513
449	0.2936476664
450	0.2935633163
451	0.2934819538
452	0.2933812646
453	0.293274871
454	0.2932672472
455	0.2931364867
456	0.2930499944
457	0.2929391983
458	0.2929221328
459	0.2928547707
460	0.2928470343
461	0.2927600098
462	0.2927220053
463	0.2925861123
464	0.2925297076
465	0.2923985618
466	0.2922616931
467	0.2921412594
468	0.2920475423
469	0.2919548631
470	0.2918864894
471	0.2918252866
472	0.2916292824
473	0.291459642
474	0.2913826438
475	0.2912582469
476	0.2912449524
477	0.2910620344
478	0.2908662927
479	0.2907771554
480	0.2907007412
481	0.2906273913
482	0.2903470142
483	0.2902980707
484	0.2902308859
485	0.2902265671
486	0.290181875
487	0.2901576039
488	0.2899170963
489	0.2897196293
490	0.2896389964
491	0.2895898575
492	0.2894567382
493	0.2893971787
494	0.2893317145
495	0.2892164449
496	0.2890718942
497	0.2889540911
498	0.2889496541
499	0.2888752563
500	0.2888469973
501	0.288724825
502	0.2886609365
503	0.2886160554
504	0.2884898193
505	0.2884088156
506	0.2883206665
507	0.2880981921
508	0.2880396944
509	0.2879234921
510	0.2878544528
511	0.2877489128
512	0.2876817634
513	0.2876266217
514	0.2876225047
515	0.2875313839
516	0.2874788774
517	0.2874109065
518	0.2873651197
519	0.2872841056
520	0.2872243445
521	0.2871491932
522	0.2871002821
523	0.287038221
524	0.2869876388
525	0.2868808784
526	0.2868253669
527	0.2867901378
528	0.2866980752
529	0.2866752208
530	0.2865841372
531	0.2865024379
532	0.2864924516
533	0.2864509472
534	0.2863097857
535	0.2862515857
536	0.2861586209
537	0.2860386496
538	0.2859414497
539	0.2858648467
540	0.2858136312
541	0.2857417168
542	0.2856544143
543	0.2855671129
544	0.2855064847
545	0.2854413927
546	0.2853658395
547	0.2853161017
548	0.2852809803
549	0.2852006418
550	0.285124205
551	0.2850774093
552	0.285036715
553	0.2849004989
554	0.2848582234
555	0.2848170659
556	0.2847424585
557	0.284738605
558	0.2846516684
559	0.2845624043
560	0.2843366217
561	0.2842558743
562	0.284134737
563	0.2840978164
564	0.2839597169
565	0.2838344884
566	0.2837755238
567	0.2836965016
568	0.2836209316
569	0.2835305662
570	0.283439397
571	0.2833261386
572	0.2832908939
573	0.2831899882
574	0.2830081977
575	0.28294073
576	0.2828414462
577	0.2827727845
578	0.2827055304
579	0.2826316718
580	0.2825291236
581	0.2823901187
582	0.2823600193
583	0.2822322854
584	0.2819824278
585	0.2819280366
586	0.2818522089
587	0.2817936139
588	0.2817035393
589	0.2815603324
590	0.2815327239
591	0.2814842455
592	0.2813626324
593	0.2812913517
594	0.2812648252
595	0.2812073553
596	0.281134485
597	0.281067465
598	0.2809442781
599	0.2808756439
600	0.2807571096
601	0.2807380779
602	0.2807234745
603	0.2806986378
604	0.280598337
605	0.2805861114
606	0.2803910606
607	0.2802941636
608	0.2801683966
609	0.2800028703
610	0.2798835998
611	0.2798149336
612	0.2797655181
613	0.2797342966
614	0.2796991745
615	0.2796252141
616	0.2794497379
617	0.2794471919
618	0.2793912248
619	0.2793718588
620	0.2793087534
621	0.2792607715
622	0.2792177961
623	0.2791980724
624	0.2790964076
625	0.2790519313
626	0.278969387
627	0.2788057386
628	0.2787002274
629	0.2786205929
630	0.2785661274
631	0.2784648528
632	0.2783601696
633	0.2782372184
634	0.2780907494
635	0.278039295
636	0.2780152912
637	0.2779162987
638	0.2778649892
639	0.2777812617
640	0.2776090788
641	0.2775822747
642	0.2775478191
643	0.2774607201
644	0.277418357
645	0.2773920188
646	0.277375928
647	0.2773412549
648	0.2772414421
649	0.2772377642
650	0.2771789341
651	0.2770868396
652	0.2769900681
653	0.2768146225
654	0.2767046045
655	0.2766150648
656	0.2765313229
657	0.2764894025
658	0.2764282725
