,본부명,지사명,노선명,구간,방향,5km,발생건수,위도,경도
0,수도권,경기광주,제2중부선,330~335,통영,330.0,5.0,37.2830594,127.3855901
1,수도권,경기광주,제2중부선,335~340,하남,335.0,3.0,37.3153254,127.3472754
2,수도권,경기광주,중부선,330~335,통영,330.0,3.0,37.2831926,127.3849201
3,수도권,경기광주,중부선,340~345,통영,340.0,3.0,37.3536425,127.3205395
4,수도권,경기광주,중부선,325~330,하남,325.0,3.0,37.2489572,127.4213702
5,수도권,경기광주,중부선,330~335,하남,330.0,3.0,37.2831926,127.3849201
6,수도권,경기광주,중부선,350~355,하남,350.0,5.0,37.438927,127.2891253
7,수도권,동서울,수도권제1순환선,120~125,일산,120.0,4.0,37.3903004,127.0096347
8,수도권,동서울,수도권제1순환선,30~35,판교,30.0,3.0,37.6138233,127.1420652
9,수도권,동서울,수도권제1순환선,115~120,판교,115.0,3.0,37.3791853,126.9574134
10,수도권,시흥,제2경인선,20~25,안양,20.0,3.0,37.4398798,126.8492325
11,강원,강릉,동해선,15~20,속초,15.0,3.0,37.4862924,129.0907032
12,강원,강릉,동해선,50~55,속초,50.0,3.0,37.6908378,128.8971321
13,강원,양양,서울양양선,95~100,양양,95.0,3.0,37.7885332,128.1371004
14,강원,이천,영동선,55~60,인천,55.0,3.0,37.2477833,127.23533
15,강원,이천,중부내륙선,280~285,양평,280.0,3.0,37.3480828,127.5412771
16,강원,홍천,중앙선,315~320,부산,315.0,8.0,37.340987,127.9125914
17,강원,홍천,중앙선,345~350,부산,345.0,4.0,37.572884,127.9732079
18,강원,홍천,중앙선,350~355,부산,350.0,3.0,37.6134811,127.9563302
19,강원,홍천,중앙선,355~360,부산,355.0,3.0,37.646758,127.9193938
20,강원,홍천,중앙선,360~365,부산,360.0,3.0,37.6701836,127.8743817
21,강원,홍천,중앙선,375~380,부산,375.0,3.0,37.7664292,127.7909967
22,강원,홍천,중앙선,385~390,부산,385.0,3.0,37.8387689,127.7779955
23,강원,홍천,중앙선,315~320,춘천,315.0,6.0,37.340987,127.9125914
24,강원,홍천,중앙선,325~330,춘천,325.0,6.0,37.4183258,127.916969
25,강원,홍천,중앙선,345~350,춘천,345.0,3.0,37.572884,127.9732079
26,강원,홍천,중앙선,375~380,춘천,375.0,4.0,37.7664292,127.7909967
27,강원,홍천,중앙선,380~385,춘천,380.0,3.0,37.8022068,127.7716686
28,강원,홍천,중앙선,385~390,춘천,385.0,4.0,37.8387689,127.7779955
29,충북,보은,청주상주선,0~5,상주,0.0,3.0,36.5647448,127.4306527
30,충북,보은,청주상주선,5~10,상주,5.0,3.0,36.5458603,127.479322
31,충북,보은,청주상주선,45~50,상주,45.0,3.0,36.4474108,127.8883615
32,충북,엄정,평택제천선,90~95,제천,90.0,3.0,37.0363053,127.7918926
33,충북,엄정,평택제천선,35~40,평택,35.0,6.0,36.9817443,127.2375483
34,충북,제천,중앙선,270~275,부산,270.0,4.0,37.0512475,128.2059482
35,충북,제천,중앙선,260~265,춘천,260.0,3.0,37.0048542,128.2941624
36,충북,진천,중부선,255~260,통영,255.0,4.0,36.666547,127.4240858
37,충북,진천,중부선,290~295,통영,290.0,5.0,36.9476101,127.4714058
38,충북,진천,중부선,300~305,통영,300.0,3.0,37.035401,127.4801145
39,충북,진천,중부선,320~325,통영,320.0,5.0,37.2077647,127.4422137
40,충북,진천,중부선,250~255,하남,250.0,4.0,36.6222664,127.4202485
41,충북,진천,중부선,260~265,하남,260.0,5.0,36.7088023,127.4375391
