,지역,가맹점명,분류,주소,Latitude,Longitude
21325,전남,오즈모텔,숙박,전라남도 영암군 신북면 금교로 11 로즈모텔,34.9112113,126.7012326
12622,경기,블랑호텔,숙박,경기 과천시 중앙로 131 현대빌딩 (중앙동),37.4283384,126.9913404
7549,경북,경산 용암웰빙스파,관광지,경북 경산시 압량면 금구길 23 (금구리),35.8537152,128.7647431
14121,충북,야생화느낌자수(궁중매듭공예),문화체험,충청북도 제천시  풍양로 108 중앙시장상가 2층 가동 104호,37.136624,128.2113501
13335,인천,남동볼링센터,체육시설,"인천 남동구 인하로535번길 39 1,2층 ",37.4448239,126.7061459
13394,충북,럭키볼링센타,체육시설,충북 청주시 청원구 율봉로187번길 10-11 1층,36.6693629,127.4906991
2173,광주,야구쟁이,체육용품,광주 북구 독립로237번길 16 (누문동),35.1536011,126.9085581
13135,제주,아뜨네 민박,숙박,제주특별자치도 제주시 애월읍 상하귀길 91 B동,33.475733,126.4163508
22497,경기,책나래,도서,경기도 남양주시 진접읍 장현로 77 장현프라자 4층 412-1호,37.7175755,127.180751
19907,서울,예체능공간(사단법인 예체능융합문화교육협회),문화체험,서울특별시 은평구  연서로32길 16-1 지하 1층,37.6191534,126.9242332
9723,강원,쿵쿵소 캠핑장,관광지,강원 평창군 봉평면 덕거길 356-12,37.6542407,128.4079065
1999,대구,영일렌트카 (주),교통수단,대구 북구 대현로 69 (대현동),35.8838455,128.6071357
17609,전남,해진해운,교통수단,전남 신안군 압해읍 송공리 718-64,34.8497745,126.2290659
6036,전남,오거리사진관,미술,전남 목포시 영산로75번길 2,34.7894979,126.3851215
18100,충남,삼성스포츠(삼성광고&스포츠),체육용품,충청남도 부여군 부여읍 성왕로 285,36.2836137,126.9188361
10345,인천,롯데컬처웍스㈜롯데시네마 부평역사,영상,"인천 부평구 광장로 16 (부평동, 부평민자역사) ",37.4903861,126.7236421
3677,충북,오송문구서점,도서,충북 청주시 흥덕구 오송읍 오송가락로 235 오송단지내상가 103 (만수리),36.6324947,127.328635
20760,전남,문구나라,미술,전라남도 진도군 진도읍 성내길 10,34.4851016,126.265561
22529,경기,어쿠스틱준,음악,경기도 화성시  동탄기흥로257번가길 21 동탄프리미엄아울렛 F동 2층 203호,37.1944769,127.0937082
5318,경기,현대사,미술,경기 동두천시 중앙로353번길 23 101호,37.9140448,127.0561919
1306,경기,극단즐거운사람들,공연,경기도 양주시 광적면 부흥로618번길 303 양주문화예술회관 2층 극단즐거운사람들,37.8131434,126.9721575
17130,전남,삼호버스종합터미널(고속),교통수단,전남 영암군 삼호읍 삼호중앙로 246,34.7458473,126.4773484
17297,서울,문화기획 이유,공연,서울특별시 성북구  삼선교로11길 18 2층,37.5885671,127.0097795
4499,경기,(주)대명레저산업-양평지점/콘도,숙박,경기 양평군 개군면  389-7,37.4259363,127.5367791
14251,경기,신길수영장(안산도시공사),체육시설,경기도 안산시 단원구  새뿔길 55 삼익아파트,37.3372259,126.7775233
22785,서울,양화진책방(홍성사),도서,서울특별시 마포구  양화진4길 3 합정동 서고 1층,37.5471823,126.9120903
722,광주,e모텔,숙박,광주 광산구 우산동 무진대로231번길 13-12,35.1629449,126.8054774
7473,경기,이솝포토,미술,경기 포천시 중앙로 121,37.8973457,127.2028683
14486,경기,운양동주민자치센터,문화체험,경기도 김포시  모담공원로 32 운양동주민센터,37.6493088,126.6849894
7510,부산,대한도서,도서,부산 북구 덕천1길 10 (덕천동),35.2095697,129.0062088
1314,강원,원주온천,관광지,강원 원주시 강변로 231-2,37.3285233,127.9621179
7215,경북,책이랑문구랑,도서,경북 경주시 안강읍 구부랑길 48,36.0016751,129.1970044
4394,경기,앙뜨리스튜디오,미술,경기 수원시 영통구 태장로 87 2층,37.2393994,127.0556413
4158,경남,희망서점,도서,경남 산청군 산청읍 웅석봉로 25,35.4146736,127.8757462
13,전남,모텔리빙,숙박,전남 여수시 공화북2길 15,34.7456094,127.7419635
6776,경기,화성아트홀((재)화성시문화재단),공연,경기도 화성시  태안로 145 화성시 여성청소년 수련관 화성아트홀,37.2029904,127.0331438
20084,제주,디바샵댄스학원,체육시설,제주특별자치도 제주시  동화로 34 2층,33.51845,126.5727211
14391,서울,안전한자전거센터,체육용품,서울특별시 광진구  광나루로52길 63-1 안전한자전거센터,37.5396669,127.0923102
1957,부산,보성서점,도서,부산 사하구 괴정동  537-21,35.0951022,128.9877462
13762,경남,해인사터미널,교통수단,경남 합천군 가야면 치인리 산 17,35.7920994,128.0885899
21481,서울,책과함께,도서,서울특별시 성북구  장위로20길 11-1 1층,37.6133878,127.0431983
4781,경남,태양별장여관,숙박,경남 사천시 목섬길 41,34.9249181,128.0754318
16734,서울,두산 베어스(㈜위팬),체육용품,서울 송파구 올림픽로25 잠실야구장,37.5122579,127.0719011
5014,강원,소망사진실,미술,강원 원주시 명륜1동 261-11,37.338309,127.9512754
12920,충북,별둘레코드 하늘대리점,음악,충북 영동군 영동읍 중앙로 30,36.1744981,127.7769554
10443,전북,웅진서적 효자점,도서,전라북도 전주시 완산구  호암로 67,35.809062,127.102239
1632,서울,삼천리자전거 마곡나루점,체육용품,서울 강서구 마곡서1로 132 상가동1층102호,37.5764888,126.8307466
22080,서울,대한극장,영상,서울 중구 퇴계로 212,37.56103,126.9953279
4392,경기,원천침례교회서적,도서,경기 수원시 영통구 원드컵로 70 중앙기독초등학교신관 3층 서점,37.2749601,127.0576983
9967,전북,가인교육농장,관광지,전북 순창군 복흥면 가인로 442-103 체험학습장 (답동리),35.4407664,126.9830525
745,대구,주니어 문구센터,도서,대구 달서구 당산로 30길 6,35.8494036,128.5474543
20048,서울,두발자전거,체육용품,서울특별시 영등포구  대림로 120 1층 1호,37.4921085,126.9022848
9540,경기,태성사진관,미술,경기 의정부시 가능2동 725-23,37.7465287,127.0372554
7835,전북,삼천리자전거 군산성진점,체육용품,전북 군산시 팔마로 141-1,35.9737474,126.7168735
10701,경기,오산시외버스터미널,교통수단,경기 오산시 오산동 881-1,37.1457186,127.068047
12336,경기,오산버스터미널(고속),교통수단,경기 오산시 오산동 881-1,37.1457186,127.068047
7016,경남,세이,도서,경남 창원시 의창구 도계로95번길 10-22 (도계동),35.2561706,128.6415291
15287,경북,민스포츠,체육용품,경상북도 영주시  대동로 57-1,36.8148022,128.6193685
492,제주,자인빌리지펜션,숙박,제주 서귀포시 하신상로 174-21,33.2746746,126.609829
5398,강원,예미역,교통수단,강원 정선군 신동읍 예미6리 200-1,37.2297433,128.66395
6141,전남,나로도수산업협동조합,교통수단,전남 고흥군 봉래면 나로도항길 135,34.465067,127.4539247
15004,전남,CGV 나주,영상,전남 나주시 빛가람로 203-3 티씨씨타워 4층,35.0157729,126.756466
12243,서울,삼천리자전거 구의점,체육용품,서울 광진구 광나루로 524,37.544695,127.087674
7446,부산,광명서점,도서,부산 북구 구포동  1202-20번지,35.2047001,129.0103659
5419,경기,주식회사 다올렌트카,교통수단,경기 고양시 일산동구 백마로213번길  36 (장항동),37.6557523,126.773237
4584,경기,샵앤,숙박,경기 이천시 창전동 영창로227번길 9 화이트하우스호텔,37.2812441,127.4477968
21450,대구,윙스세라믹,문화체험,대구광역시 달서구  조암로 9 테라스빌딩 114호,35.825289,128.5286888
14540,전북,천년의소리종합예술단,공연,전라북도 전주시 완산구  동부대로 82-28 천년의소리종합예술단,35.8025616,127.1949975
15078,제주,대보코아볼링장,체육시설,제주 제주시 도령로 11,33.4870338,126.480563
11109,대구,극단 좋은사람들,공연,대구광역시 북구  호국로43길 31 202호,35.9210115,128.5957118
4368,경북,푸실(구 송강정사),숙박,경북 상주시 사벌면 용마로 560,36.4519818,128.2436995
18580,전북,꿈꾸는소리,도서,전라북도 완주군 삼례읍 삼봉5로 60 사회적기업사무실 2층 꿈꾸는소리,35.9093122,127.0716446
17419,경남,기억나무 사진관,미술,경상남도 창원시 마산합포구  동서북10길 82 우리은행 1층,35.2063477,128.576138
2322,서울,다산서적,도서,서울 관악구 대학6길 19 (신림동),37.468899,126.9365204
934,충북,북청주터미널,교통수단,충북 청주시 상당구 우암동 323-21,36.6503891,127.4869532
17395,울산,원스튜디오,미술,울산광역시 남구  신복로 10,35.5476735,129.2611077
11936,울산,울산역,교통수단,울산 울주군 삼남면 신화리 471,35.551878,129.138376
7126,대전,(재)천주교성바오로딸수도회,도서,대전 중구 대종로 471,36.326795,127.4264075
12511,대구,코모도,숙박,대구 동구 효동로 19-1 (효목동),35.8800018,128.6482764
753,대구,작품하나,미술,대구광역시 중구  국채보상로 580 대현프리몰 B19호 작품하나,35.8708357,128.5952827
21248,강원,메이힐스리조트,숙박,강원도 정선군 고한읍 물한리길 8 메이힐스리조트,37.2114439,128.835101
10985,경기,노스탈자(에스아이엔플러스주식회사),숙박,"경기 파주시 탄현면 성동로 34, 3동 ",37.7772271,126.6877375
6866,경북,(재)청도우리정신문화재단,문화체험,경북 청도군 운문면 방지7길 1,35.7115734,128.9218926
22567,대전,대전동구문화원(생활문화센터),문화체험,대전광역시 동구  동구청로 60 생활문화센터 (가오동),36.3042074,127.459379
2316,부산,녹천호텔,숙박,부산 동래구 온천동96-6,35.2203741,129.0807283
13038,경기,광명시 여성비전센터 수영장,체육시설,경기도 광명시  오리로366번길 6 광명시여성회관 광명시 여성비전센터 수영장,37.435483,126.879417
6453,서울,유진서적,도서,서울특별시 구로구  새말로 117-21 신도림역 1호선 유진서적,37.5088099,126.8912061
9787,전북,태산선비마을,관광지,전북 정읍시 칠보면 칠보산로 1507,35.5732404,126.9500947
15864,광주,삼천리자전거 광주교대점,체육용품,광주 북구 필문대로 17-2 (풍향동),35.1643258,126.9291694
5903,서울,중앙서점,도서,서울 종로구 청계천로 345 (창신동),37.5715615,127.0137166
17935,서울,올림픽스포츠,체육용품,서울특별시 동대문구  전농로 129-1 1층,37.5765614,127.0575188
16490,전북,마이골 작은영화관,영상,전라북도 진안군 진안읍 중앙로 40,35.7912188,127.4264228
3636,전남,뉴 낙원모텔,숙박,전남 여수시 오동도로 90 (수정동),34.7423224,127.7514237
8237,충북,탄금승마클럽,체육시설,충북 충주시 창현로 1433,36.9277429,127.8652224
12596,서울,(주)LYS,숙박,서울 송파구 백제고분로 187206호,37.5079559,127.0981246
7378,대전,(주)에버투어,여행사,"대전 중구 보문로 337 405호 (선화동,선화현대빌딩 ) ",36.3276018,127.4180458
11255,인천,부평복음서점,도서,인천 부평구  시장로 12 (부평동),37.4918561,126.7254756
14223,서울,이화동 주민자치위원회,체육시설,서울특별시 종로구  이화장길 33 이화동주민센터,37.5769507,127.0043278
14503,서울,이화동 주민자치위원회,문화체험,서울특별시 종로구  이화장길 33 이화동주민센터,37.5769507,127.0043278
17460,서울,유진갤러리,미술,서울특별시 강남구  압구정로77길 17,37.5262633,127.0476304
20114,부산,부산양서협동조합서점,도서,부산광역시 해운대구  마린시티3로 1 썬프라자 3층 328호,35.1578626,129.1475639
