,종명,접수일시,도로유형,도로명
0,고라니,2019-12-31,고속국도(재정),동해고속도로
1,고라니,2019-12-31,고속국도(재정),동해고속도로
2,고라니,2019-12-31,고속국도(재정),동해고속도로
3,고라니,2019-12-31,시도,장수로
4,고양이,2019-12-31,국도,강원남로
5,고라니,2019-12-31,고속국도(재정),동해고속도로
6,고라니,2019-12-31,국도,일반국도1호선
7,고라니,2019-12-31,국도,일반국도14호선
8,고라니,2019-12-31,국도,일반국도23호선
9,고라니,2019-12-31,국도,일반국도42호선
10,고라니,2019-12-31,국도,일반국도36호선
11,너구리,2019-12-31,시도,삼진의거대로
12,고라니,2019-12-31,국도,일반국도42호선
13,고라니,2019-12-31,국도,일반국도23호선
14,고라니,2019-12-31,고속국도(재정),군포로
15,고라니,2019-12-31,국도,43
16,고라니,2019-12-31,지방도,대호만로
17,고라니,2019-12-31,고속국도(재정),익산포항고속도로
18,노루,2019-12-31,지방도,지방도1119호선
19,노루,2019-12-31,지방도,지방도1119호선
20,고라니,2019-12-31,국도,일반국도1호선
21,고양이,2019-12-31,국도,6
22,고라니,2019-12-31,국도,6
23,고라니,2019-12-31,국도,일반국도30호선
24,미동정(포유류),2019-12-31,국도,일반국도38호선
25,고양이,2019-12-31,시도,남부로
26,고라니,2019-12-31,국도,일반국도38호선
27,고양이,2019-12-31,국도,경북대로
28,미동정(포유류),2019-12-31,국도,강원남로
29,미동정(포유류),2019-12-31,국도,강원남로
30,고라니,2019-12-30,고속국도(재정),익산포항고속도로
31,개,2019-12-30,고속국도(재정),익산포항고속도로
32,개,2019-12-30,국도,일반국도14호선
33,고라니,2019-12-30,국도,일반국도14호선
34,개,2019-12-30,국도,일반국도14호선
35,고라니,2019-12-30,국도,일반국도1호선
36,미동정(포유류),2019-12-30,국도,일반국도77호선
37,고라니,2019-12-30,국도,진성로
38,고양이,2019-12-30,국도,변산로
39,고라니,2019-12-30,고속국도(민자),평택음성고속도로
40,꿩,2019-12-30,국도,진성로
41,고라니,2019-12-30,국도,진성로
42,고라니,2019-12-30,국도,일반국도36호선
43,삵,2019-12-30,국도,일반국도30호선
44,고라니,2019-12-30,국도,일반국도13호선
45,개,2019-12-30,국도,일반국도13호선
46,고라니,2019-12-30,국도,일반국도3호선
47,미동정(포유류),2019-12-30,국도,칠갑산1로
48,고라니,2019-12-30,국도,칠갑산로
49,고라니,2019-12-30,고속국도(재정),영동고속도로
50,고양이,2019-12-30,고속국도(재정),익산포항고속도로
51,고라니,2019-12-30,고속국도(재정),중부고속도로
52,고라니,2019-12-30,국도,일반국도3호선
53,고라니,2019-12-30,국도,신초평로
54,삵,2019-12-30,국도,일반국도5호선
55,너구리,2019-12-30,국도,전진로
56,개,2019-12-30,국도,일반국도45호선
57,삵,2019-12-30,국도,구성지례로
58,고라니,2019-12-30,국도,일반국도3호선
59,고라니,2019-12-30,국도,일반국도36호선
60,고라니,2019-12-30,국도,43
61,고라니,2019-12-30,지방도,금암로
62,너구리,2019-12-30,국도,생음대로
63,고라니,2019-12-30,국도,경강로
64,고양이,2019-12-30,국도,일반국도25호선
65,꿩,2019-12-30,지방도,지방도649호선
66,삵,2019-12-30,국도,일반국도3호선
67,고라니,2019-12-30,국도,일반국도36호선
68,고양이,2019-12-30,국도,6
69,삵,2019-12-30,국도,일반국도27호선
70,고라니,2019-12-30,지방도,지방도649호선
71,너구리,2019-12-30,국도,일반국도33호선
72,고양이,2019-12-30,지방도,지방도649호선
73,삵,2019-12-30,국도,일반국도34호선
74,고양이,2019-12-30,지방도,지방도442호선
75,고양이,2019-12-30,국도,일반국도14호선
76,고라니,2019-12-30,국도,일반국도34호선
77,삵,2019-12-30,국도,파인토피아로
78,고라니,2019-12-30,국도,죽령로
79,멧토끼,2019-12-30,국도,파인토피아로
80,고라니,2019-12-30,국도,일반국도20호선
81,고라니,2019-12-30,국도,남부로
82,고라니,2019-12-30,고속국도(재정),울산고속도로
83,미동정(조류),2019-12-29,국도,일반국도14호선
84,고라니,2019-12-29,국도,가야로
85,고라니,2019-12-29,국도,일반국도34호선
86,삵,2019-12-29,국도,가야로
87,고라니,2019-12-29,국도,차동로
88,고라니,2019-12-29,국도,경북대로
89,고양이,2019-12-29,국도,6
90,고라니,2019-12-29,국도,영남대로
91,고라니,2019-12-29,국도,일반국도32호선
92,고라니,2019-12-29,국도,의령대로
93,고라니,2019-12-29,국도,일반국도3호선
94,노루,2019-12-29,지방도,지방도1119호선
95,노루,2019-12-29,지방도,지방도1136호선
96,노루,2019-12-29,지방도,지방도1115호선
97,고양이,2019-12-28,국도,37
98,고라니,2019-12-28,국도,46
99,고라니,2019-12-28,고속국도(재정),중앙고속도로
100,삵,2019-12-28,국도,일반국도14호선
101,고라니,2019-12-28,국도,일반국도14호선
102,고양이,2019-12-28,국도,일반국도38호선
103,고라니,2019-12-28,국도,6
104,고라니,2019-12-28,국도,일반국도23호선
105,너구리,2019-12-28,국도,일반국도23호선
106,고라니,2019-12-28,고속국도(재정),서울양양고속도로
107,고라니,2019-12-28,국도,일반국도38호선
108,고라니,2019-12-28,국도,일반국도5호선
109,너구리,2019-12-28,국도,일반국도3호선
110,노루,2019-12-28,지방도,지방도1135호선
111,고라니,2019-12-28,고속국도(재정),순천완주고속도로
112,고라니,2019-12-28,고속국도(재정),통영대전고속도로
113,고라니,2019-12-28,고속국도(재정),35
114,고라니,2019-12-27,시도,아미로
115,고라니,2019-12-27,국도,일반국도31호선
116,고양이,2019-12-27,시도,일반국도32호선
117,고양이,2019-12-27,국도,47
118,고양이,2019-12-27,국도,47
119,고양이,2019-12-27,국도,일반국도38호선
120,개,2019-12-27,국도,일반국도1호선
121,고라니,2019-12-27,국도,일반국도1호선
122,고라니,2019-12-27,국도,일반국도45호선
123,너구리,2019-12-27,국도,일반국도3호선
124,고라니,2019-12-27,국도,일반국도38호선
125,고라니,2019-12-27,국도,우주항공로
126,고양이,2019-12-27,국도,상경로
127,고라니,2019-12-27,고속국도(재정),동해고속도로
128,고라니,2019-12-27,국도,일반국도3호선
129,고라니,2019-12-27,국도,상경로
130,고라니,2019-12-27,국도,일반국도3호선
131,고라니,2019-12-27,고속국도(재정),평택제천고속도로
132,고라니,2019-12-27,국도,생음대로
133,개,2019-12-27,국도,충민로
134,고라니,2019-12-27,국도,충민로
135,고라니,2019-12-27,국도,대청로
136,족제비,2019-12-27,국도,일반국도36호선
137,고양이,2019-12-27,국도,생음대로
138,멧돼지,2019-12-27,국도,생음대로
139,고라니,2019-12-27,국도,우주항공로
140,고라니,2019-12-27,국도,생음대로
